"state","state_cd","year","cms_notes","cms_plan_type","cms_program_name","cms_plan_name","cms_geographic_region","cms_medicaid_only_enrollment","cms_dual_enrollment","cms_total_enrollment","cms_parent_organization","kff_mco_name","taf_enrollment","taf_enrollment_in_claims","chse_matched_next_year","chse_blue_cross_blue_shield_flag","chse_parent_firm","chse_mco_name"
"Alabama","AL",2017,"","Program of All-Inclusive Care for the Elderly (PACE)","PACE (Program of All-inclusive Care for the Elderly (PACE))","Mercy Life of Alabama","Mobile and Baldwin Counties",19,153,172,"Trinity Health",NA,"205",NA,1,0,"Trinity Health","Trinity Health"
"Alabama","AL",2017,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16343","16526",0,0,"United Healthcare","United Healthcare"
"Alabama","AL",2017,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14643","14764",0,0,"University of Alabama at Birmingham Health System","University of Alabama at Birmingham Health System"
"Alabama","AL",2017,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16052","16251",0,0,"Cigna","Cigna"
NA,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama","AL",2017,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3735","3874",0,0,"Humana","Humana"
"Alabama","AL",2017,"","Primary Care Case Management (PCCM)","Patient 1st (Primary Care Case Management (PCCM))","Patient 1st","Statewide",621899,0,621899,"Alabama Medicaid Agency",NA,"797800","1266",1,0,"Alabama Medicaid Agency","Multiple primary care providers"
"Alabama","AL",2017,"","Other Prepaid Health Plan (PHP) (limited benefits)","Maternity Care Program (Other Prepaid Health Plan (PHP) (limited benefits))","Maternity Program","Statewide minus the following counties: Autuaga, Butler, Bullock, Crenshaw, Elmore, Lowdnes, Montgomery, Pike, Baldwin, Clarke, Conecuh, Covington, Escambia, Monroe and Washington",14848,0,14848,"Alabama Medicaid Agency",NA,NA,NA,0,0,"Alabama Medicaid Agency","Alabama Medicaid Agency"
"Alabama","AL",2017,"","Primary Care Case Management (PCCM)","Patient 1st (Primary Care Case Management (PCCM))","Health Homes","Statewide",224987,0,224987,"Alabama Medicaid Agency",NA,NA,NA,0,0,"Alabama Medicaid Agency","Alabama Medicaid Agency"
"Arkansas","AR",2017,"","Program of All-Inclusive Care for the Elderly (PACE)","PACE (Program of All-inclusive Care for the Elderly (PACE))","PACE","Statewide",209,0,209,"PACE",NA,"Less than 100",NA,1,0,"Complete Health","Complete Health with PACE"
