state,state_cd,year,cms_notes,cms_plan_type,cms_program_name,cms_plan_name,cms_geographic_region,cms_medicaid_only_enrollment,cms_dual_enrollment,cms_total_enrollment,cms_parent_organization,kff_mco_name,kff_comprehensive_plan,taf_mc_plan_id,taf_mc_plan_name,taf_mc_plan_type_cd,taf_enrollment,taf_enrollment_in_claims,chse_matched_next_year,chse_blue_cross_blue_shield_flag,chse_parent_firm,chse_mco_name,kff_parent_firm,chse_matched_last_year
Alabama,AL,2017,"",Program of All-Inclusive Care for the Elderly (PACE),PACE (Program of All-inclusive Care for the Elderly (PACE)),Mercy Life of Alabama,Mobile and Baldwin Counties,19,153,172,Trinity Health,"",0,*134322,MERCY LIFE OF ALABAMA,17,205,,1,0,Trinity Health,Trinity Health,,
Alabama,AL,2017,"","","","","",,,,"","",0,*500010100,UNITED HEALTHCARE OF MIDLANDS,80,16343,16526,0,0,United Healthcare,United Healthcare,,
Alabama,AL,2017,"","","","","",,,,"","",0,*500020100,VIVA HEALTH,80,14643,14764,0,0,University of Alabama at Birmingham Health System,Viva Health,,
Alabama,AL,2017,"","","","","",,,,"","",0,*500030100,HEALTHSPRING OF ALABAMA INC,80,16052,16251,0,0,Cigna,Healthspring of Alabama,,
Alabama,AL,2017,"","","","","",,,,"","",0,*500060100,ARCADIAN,80,3735,3874,0,0,Humana,Arcadian,,
Alabama,AL,2017,"",Primary Care Case Management (PCCM),Patient 1st (Primary Care Case Management (PCCM)),Patient 1st,Statewide,621899,0,621899,Alabama Medicaid Agency,"",0,*PT1ST,PATIENT FIRST,2,797800,1266,1,0,Alabama Medicaid Agency,Multiple Primary Care Providers,,
Alabama,AL,2017,"",Other Prepaid Health Plan (PHP) (limited benefits),Maternity Care Program (Other Prepaid Health Plan (PHP) (limited benefits)),Maternity Program,"Statewide minus the following counties: Autuaga, Butler, Bullock, Crenshaw, Elmore, Lowdnes, Montgomery, Pike, Baldwin, Clarke, Conecuh, Covington, Escambia, Monroe and Washington",14848,0,14848,Alabama Medicaid Agency,"",0,"","",,,,0,0,Alabama Medicaid Agency,Maternity Care Plan,,
Alabama,AL,2017,"",Primary Care Case Management (PCCM),Patient 1st (Primary Care Case Management (PCCM)),Health Homes,Statewide,224987,0,224987,Alabama Medicaid Agency,"",0,"","",,,,0,0,Alabama Medicaid Agency,Multiple Primary Care Providers,,
Arkansas,AR,2017,"",Program of All-Inclusive Care for the Elderly (PACE),PACE (Program of All-inclusive Care for the Elderly (PACE)),PACE,Statewide,209,0,209,PACE,"",0,*101652093,COMPLETE HEALTHWITH PACE,17,54,,1,0,Complete Health,Complete Health with PACE,,
Arkansas,AR,2017,"",Non-Emergency Medical Transportation,Non-Emergency Transportation (Non-Emergency Medical Transportation),Net Transportation,Statewide,0,0,0,Net Transportation,"",0,*132838715,CENTRAL ARKANSAS DEVELOPMENT,15,97600,88441,1,0,Central Arkansas Development Council,Central Arkansas Development,,
Arkansas,AR,2017,"",Non-Emergency Medical Transportation,Non-Emergency Transportation (Non-Emergency Medical Transportation),Net Transportation,Statewide,0,0,0,Net Transportation,"",0,*132839715,MID DELTA TRANSIT,15,24439,23265,1,0,Mid-Delta,Mid-Delta,,
Arkansas,AR,2017,"",Non-Emergency Medical Transportation,Non-Emergency Transportation (Non-Emergency Medical Transportation),Net Transportation,Statewide,0,0,0,Net Transportation,"",0,*132841715,SOUTHWEST ARKANSAS DEVELOPMENT,15,48470,44598,,0,Southwest Arkansas Planning & Development,Southwest Arkansas Planning & Development,,
Arkansas,AR,2017,"",Non-Emergency Medical Transportation,Non-Emergency Transportation (Non-Emergency Medical Transportation),Net Transportation,Statewide,0,0,0,Net Transportation,"",0,*132842715,AREA AGENCY ON AGING OF WESTERN,15,141419,130544,1,0,Area Agencies on Aging,Area Agency of Aging of Western Arkansas,,
Arkansas,AR,2017,"",Non-Emergency Medical Transportation,Non-Emergency Transportation (Non-Emergency Medical Transportation),Net Transportation,Statewide,0,0,0,Net Transportation,"",0,*132845715,AREA AGENCY ON AGING OF SOUTHEAST,15,89497,84055,1,0,Area Agencies on Aging,Area Agency on Aging of Southeast Arkansas,,
Arkansas,AR,2017,"",Non-Emergency Medical Transportation,Non-Emergency Transportation (Non-Emergency Medical Transportation),Net Transportation,Statewide,0,0,0,Net Transportation,"",0,*132846715,CENTRAL ARKANSAS DEVELOPMENT,15,42265,39330,1,0,Central Arkansas Development Council,Central Arkansas Development,,
