"state_cd","state","year","cms_notes","cms_plan_type","cms_program_name","cms_plan_name","cms_geographic_region","cms_medicaid_only_enrollment","cms_dual_enrollment","cms_total_enrollment","cms_parent_organization","kff_mco_name","kff_parent_firm","kff_comprehensive_plan_flag","taf_enrollee_count","taf_n_enrollees_at_least_one_claim","cms_plan_unmatched","taf_plan_unmatched","matched_last_year","matched_next_year","matched","chse_blue_cross_blue_shield_flag","chse_parent_firm","chse_mco_name","taf_no_enrollment_or_claims"
"AL","Alabama",2019,"Beneficiaries can simultaneously enroll in Alabama's two PCCM programs: Patient 1st and Health Homes. The de-duplicated Comprehensive Managed Care enrollment is 809,137. ","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Mercy Life of Alabama","Mobile and Baldwin Counties",24,149,173,"Trinity Health",NA,NA,0,200,NA,0,0,1,1,1,0,"Trinity Health","Trinity Health",0
"AL","Alabama",2019,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,23363,23484,0,1,0,0,0,0,"United Healthcare","United Healthcare",0
"AL","Alabama",2019,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6598,6632,0,1,0,0,0,0,"United Healthcare","United Healthcare",0
"AL","Alabama",2019,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14790,14864,0,1,0,0,0,0,"University of Alabama at Birmingham Health System","University of Alabama at Birmingham Health System",0
"AL","Alabama",2019,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14800,14855,0,1,0,0,0,0,"Cigna","Cigna",0
"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AL","Alabama",2019,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9159,9226,0,1,0,0,0,0,"Humana","Humana",0
"AL","Alabama",2019,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,10,0,1,0,0,0,0,"Senior Select Partners","Senior Select Partners",0
"AL","Alabama",2019,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,10,0,1,0,0,0,0,"Senior Select Partners","Senior Select Partners",0
"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
