"state","state_cd","year","cms_plan_type","cms_program_name","cms_plan_name","cms_geographic_region","cms_medicaid_only_enrollment","cms_dual_enrollment","cms_total_enrollment","cms_parent_organization","kff_mco_name","kff_parent_firm","kff_comprehensive_plan","taf_enrollment","taf_enrollment_in_claims","chse_matched_last_year","chse_matched_next_year","chse_blue_cross_blue_shield_flag","chse_parent_firm","chse_mco_name"
"Alabama","AL",2020,"Program of All-Inclusive Care for the Elderly (PACE)","PACE (Program of All-inclusive Care for the Elderly (PACE))","Mercy Life of Alabama","Mobile and Baldwin Counties",21,145,166,"Trinity Health",NA,NA,0,"204",NA,1,1,0,"Trinity Health","Trinity Health"
"Alabama","AL",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"15199","15223",0,0,0,"United Healthcare","United Healthcare"
"Alabama","AL",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"25747","25779",0,0,0,"United Healthcare","United Healthcare"
"Alabama","AL",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"14587","14614",0,0,0,"University of Alabama at Birmingham Health System","University of Alabama at Birmingham Health System"
"Alabama","AL",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"14848","14865",0,0,0,"Cigna","Cigna"
NA,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama","AL",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"12332","12371",0,0,0,"Humana","Humana"
"Alabama","AL",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Less than 100","Less than 100",0,0,0,"Senior Select Partners","Senior Select Partners"
"Alabama","AL",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"410","413",NA,0,0,"CVS Health Corporation","CVS Health Corporation"
NA,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama","AL",2020,"Primary Care Case Management (PCCM)","Alabama Coordinated Health Networks (Primary Care Case Management Entity (PCCM Entity))","Alabama Coordinated Health Networks","Statewide",838985,0,838985,"Alabama Coordinated Health Networks",NA,NA,0,"934199","1120163",0,1,0,"Alabama Coordinated Health Network","Blue Cross Blue Shield (dba Alahealth), Huntsville Hospital System, VIVA Health Plan"
"Alabama","AL",2020,"Primary Care Case Management (PCCM)","Integrated Care Network (Primary Care Case Management Entity (PCCM Entity))","Alabama Select Network","Statewide",4220,18553,22773,"Senior Select Partners",NA,NA,0,"29033","29723",1,1,0,"Senior Select Partners","Senior Select Partners"
