state_cd,taf_mc_plan_id,chse_mco_name,state,year,cms_notes,cms_plan_type,cms_program_name,cms_plan_name,cms_geographic_region,cms_medicaid_only_enrollment,cms_dual_enrollment,cms_total_enrollment,cms_parent_organization,kff_mco_name,kff_comprehensive_plan,taf_mc_plan_name,taf_enrollment,taf_enrollment_in_claims,chse_matched_next_year,chse_blue_cross_blue_shield_flag,chse_parent_firm,kff_parent_firm,chse_matched_last_year,chse_parent_firm_acquisition_date,chse_parent_firm_name_change_date
AL,*134322,Trinity Health,Alabama,2020,,Program of All-Inclusive Care for the Elderly (PACE),PACE (Program of All-inclusive Care for the Elderly (PACE)),Mercy Life of Alabama,Mobile and Baldwin Counties,21,145,166,Trinity Health,"",0,MERCY LIFE OF ALABAMA,204,,1,0,Trinity Health,"",1,,
AL,*500010100,United Healthcare,Alabama,2020,,"","","","",,,,"","",0,UNITED HEALTHCARE OF MIDLANDS,15199,15223,0,0,United Healthcare,"",0,,
AL,*500010300,United Healthcare,Alabama,2020,,"","","","",,,,"","",0,"UNITEDHEALTHCARE OF THE MIDLANDS, INC                                             ",25747,25779,0,0,United Healthcare,"",0,,
AL,*500020100,Viva Health,Alabama,2020,,"","","","",,,,"","",0,VIVA HEALTH,14587,14614,0,0,University of Alabama at Birmingham Health System,"",0,,
AL,*500030100,Healthspring of Alabama,Alabama,2020,,"","","","",,,,"","",0,HEALTHSPRING OF ALABAMA INC,14848,14865,0,0,Cigna,"",0,,
AL,*500060100,Arcadian,Alabama,2020,,"","","","",,,,"","",0,ARCADIAN,12332,12371,0,0,Humana,"",0,,
AL,*500070100,Senior Select Partners,Alabama,2020,,"","","","",,,,"","",0,"SIMPRA ADVANTAGE, INC                                                             ",17,17,0,0,"Associated Care Ventures, Inc.","",0,2020-08-06,
AL,*500080100,CVS Health Corporation,Alabama,2020,,"","","","",,,,"","",0,"AETNA BETTER HEALTH INC, A LOUISIANA CORPORATION                                  ",410,413,0,0,CVS Health Corporation,"",,,
AL,*ACHN,Alabama Coordinated Health Network,Alabama,2020,,Primary Care Case Management (PCCM),Alabama Coordinated Health Networks (Primary Care Case Management Entity (PCCM Entity)),Alabama Coordinated Health Networks,Statewide,838985,0,838985,Alabama Coordinated Health Networks,"",0,ACHN,934199,1120163,1,0,Alabama Coordinated Health Network,"",0,,
AL,*ICN,Senior Select Partners,Alabama,2020,,Primary Care Case Management (PCCM),Integrated Care Network (Primary Care Case Management Entity (PCCM Entity)),Alabama Select Network,Statewide,4220,18553,22773,Senior Select Partners,"",0,ICN,29033,29723,1,0,"Associated Care Ventures, Inc.","",1,2020-08-06,
AR,*101652093,Complete Health with PACE,Arkansas,2020,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (Program of All-inclusive Care for the Elderly (PACE)),Complete Health,"72002, 72011, 72015, 72019, 72022, 72065, 72103, 72076, 72113, 72114, 72116, 72117, 72118, 72119, 72120, 72135, 72142, 72201, 72202, 72204, 72205, 72206, 72207, 72209, 72210, 72211, 72212, 72223, 72227, 72023, 72046, 72083, 72086,  72032, 72034, 72106, 72173",4,64,68,PACE,"",0,COMPLETE HEALTH WITH PACE,91,94,1,0,Baptist Health,"",1,,
AR,*132838715,Central Arkansas Development,Arkansas,2020,,Non-Emergency Medical Transportation,Arkansas Non-Emergency Medical Transport (Non-Emergency Medical Transportation),Central Arkansas Development Council,"Montgomery, Garland, Saline, Hot Springs, Clark, Pike, Sevier, Howard, Hempstead, Little River, Miller, Lafayette, Columbia, Quachita, Dallas, Calhoun, and Union Counties",133403,10066,143469,Central Arkansas Development Council,"",0,CENTRAL ARKANSAS DEVELOPMENT,169021,167258,1,0,Central Arkansas Development Council,"",1,,
