"state","state_cd","year","cms_notes","cms_plan_type","cms_program_name","cms_plan_name","cms_geographic_region","cms_medicaid_only_enrollment","cms_dual_enrollment","cms_total_enrollment","cms_parent_organization","kff_mco_name","kff_parent_firm","kff_comprehensive_plan","taf_enrollment","taf_enrollment_in_claims","chse_matched_last_year","chse_blue_cross_blue_shield_flag","chse_parent_firm","chse_mco_name","id_occurrence_no"
"Alabama","AL",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","PACE (Program of All-inclusive Care for the Elderly (PACE))","Mercy Life of Alabama","Mobile and Baldwin counties",9,152,161,"Trinity Health",NA,NA,0,"213",NA,1,0,"Trinity Health","Trinity Health",1
"Alabama","AL",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"10874","10919",0,0,"United Healthcare","United Healthcare",1
"Alabama","AL",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"36067","36203",0,0,"United Healthcare","United Healthcare",1
NA,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Alabama","AL",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"15323","15397",0,0,"University of Alabama at Birmingham Health System","University of Alabama at Birmingham Health System",1
"Alabama","AL",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"15331","15396",0,0,"Cigna","Cigna",1
NA,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Alabama","AL",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"15735","15850",0,0,"Humana","Humana",1
"Alabama","AL",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Less than 100","Less than 100",0,0,"Senior Select Partners","Senior Select Partners",1
"Alabama","AL",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"3317","3340",0,0,"CVS Health Corporation","CVS Health Corporation",1
"Alabama","AL",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"638","657",NA,0,"Centene","Centene",1
"Alabama","AL",2021,"","Primary Care Case Management (PCCM)","Alabama Coordinated Health Network (ACHN) (Primary Care Case Management Entity (PCCM Entity))","Alabama Coordinated Health Network","Statewide",928513,0,928513,"Blue Cross Blue Shield (dba Alahealth), Huntsville Hospital System, VIVA Health Plan",NA,NA,0,"1005890","1000183",1,0,"Alabama Coordinated Health Network","Blue Cross Blue Shield (dba Alahealth), Huntsville Hospital System, VIVA Health Plan",1
"Alabama","AL",2021,"","Primary Care Case Management (PCCM)","Integrated Care Network (ICN) (Primary Care Case Management Entity (PCCM Entity))","Alabama Select Network","Statewide",4223,18277,22500,"Senior Select Partners",NA,NA,0,"28641","29414",1,0,"Senior Select Partners","Senior Select Partners",1
"Arkansas","AR",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","PACE (Program of All-inclusive Care for the Elderly (PACE))","PACE","Craighead, Lawrence, Mississippi, Greene, Poinsett, Randolph, Faulkner, Lonoke, Saline, Pulaksi, Benton, Madison, and Washington counties",17,413,430,"N/A",NA,NA,0,"102","110",1,0,"Complete Health","Complete Health with PACE",1
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Arkansas","AR",2021,"","Non-Emergency Medical Transportation","Central Arkansas Development (Non-Emergency Medical Transportation)","Central Arkansas Development","Statewide",155349,11391,166740,"Central Arkansas Development",NA,NA,0,"177768","178694",1,0,"Central Arkansas Development Council","Central Arkansas Development",1
"Arkansas","AR",2021,"","Non-Emergency Medical Transportation","Area Agency on Aging of Southeast (Non-Emergency Medical Transportation)","Area Agency on Aging of Southeast","Statewide",86070,7731,93801,"Area Agency on Aging of Southeast",NA,NA,0,"95927","96539",1,0,"Area Agencies on Aging","Area Agency on Aging of Southeast",1
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Arkansas","AR",2021,"","Non-Emergency Medical Transportation","Southeastrans, Inc (Non-Emergency Medical Transportation)","Southeastrans, Inc","Statewide",0,0,0,"Southeastrans, Inc",NA,NA,0,"331","339",1,0,"Southeastrans","Southeastrans, Inc",1
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
