state_cd,taf_mc_plan_id,state,cms_program_name,cms_plan_name,kff_mco_name,cms_geographic_region,cms_medicaid_only_enrollment,cms_dual_enrollment,cms_total_enrollment,cms_parent_organization,taf_mc_plan_name,taf_enrollment,taf_enrollment_in_claims,count,year,in_xwalk,chse_mco_name,chse_parent_firm,new_id_flag,cms_plan_type
AL,*134322,Alabama,Program of All-Inclusive Care for the Elderly (PACE),Mercy Life of Alabama,"",Mobile and Baldwin Counties,16,163,179,Trinity Health,MERCY LIFE OF ALABAMA,231,,1,2022,1,Trinity Health,Trinity Health,0,Program of All-Inclusive Care for the Elderly (PACE)
AL,*500010100,Alabama,"","","","","",,"","",UNITED HEALTHCARE OF MIDLANDS,12179,12278,1,2022,1,United Healthcare,United Healthcare,0,""
AL,*500010300,Alabama,"","","","","",,"","","UNITEDHEALTHCARE OF THE MIDLANDS, INC                                             ",46697,46851,1,2022,1,United Healthcare,United Healthcare,0,""
AL,*500012100,Alabama,"","","","","",,"","",CENTENE VENTURE COMPANY ALABAMA HEALTH PLAN INC,356,392,1,2022,1,Centene Venture Company Alabama Health Plan,Centene,1,""
AL,*500020100,Alabama,"","","","","",,"","",VIVA HEALTH,15579,15621,1,2022,1,Viva Health,University of Alabama at Birmingham Health System,0,""
AL,*500030100,Alabama,"","","","","",,"","",HEALTHSPRING OF ALABAMA INC,11157,12580,1,2022,1,Healthspring of Alabama,Cigna,0,""
AL,*500060100,Alabama,"","","","","",,"","",ARCADIAN,19500,19566,1,2022,1,Arcadian,Humana,0,""
AL,*500070100,Alabama,"","","","","",,"","","SIMPRA ADVANTAGE, INC                                                             ",8,9,1,2022,1,Senior Select Partners,Senior Select Partners,0,""
AL,*500080100,Alabama,"","","","","",,"","","AETNA BETTER HEALTH INC, A LOUISIANA CORPORATION                                  ",7057,7136,1,2022,1,CVS Health Corporation,CVS Health Corporation,0,""
AL,*500090100,Alabama,"","","","","",,"","",WELLCARE OF ALABAMA INC,2048,2214,1,2022,1,Wellcare of Alabama,Centene,0,""
AL,*ACHN,Alabama,Alabama Coordinated Health Network (ACHN) (PCCM Entity),Alabama Coordinated Health Network,"",Statewide,"1,003,894",0,"1,003,894",Alabama Coordinated Health Network,ACHN,1079112,1075796,1,2022,1,Alabama Coordinated Health Network,Alabama Coordinated Health Network,0,Primary Care Case Management (PCCM)
AL,*ICN,Alabama,Integrated Care Network (ICN) (PCCM Entity),Alabama Select Network,"",Statewide,"5,058",18983,"24,041",Senior Select Partners,ICN,30238,30961,1,2022,1,Senior Select Partners,Senior Select Partners,0,Primary Care Case Management (PCCM)
AR,*101652093,Arkansas,Program of All-Inclusive Care for the Elderly (PACE),PACE,"","Craighead County, Lawrence (72433, 72465, 72476), Cross (72324, 72373, 72387, 72396), Mississippi (72315, 72319, 72438, 72442), Greene (72450), Poinsett (72432, 72354, 72365, 72472), Randolph (72455), Faulkner (72032, 72034, 72106, 72173), Lonoke (72023, 72046, 72083, 72086), Saline (72002, 72011, 72015, 72019, 72022, 72065, 72103), Pulaksi (72076, 72120, 72113, 72135, 72201, 72202, 72204, 72205, 72206, 72207, 72209, 72210, 72211, 72212, 72223, 72227, 72114, 72116, 72117, 72118, 72119, 72142), Benton (72712, 72713, 72714, 72715, 72718, 72719, 72722, 72734, 72736, 72739, 72745, 72751, 72756, 72758, 72761), Madison (72738, 72740, 72773), Washington (72701, 72703, 72704, 72727, 72730, 72744, 72753, 72762, 72764, 72774, 72959)",477,461,938,N/A,COMPLETE HEALTH WITH PACE,126,130,1,2022,1,Complete Health with PACE,Complete Health,0,Program of All-Inclusive Care for the Elderly (PACE)
AR,*132838715,Arkansas,Non-Emergency Medical Transportation (NEMT),Central Arkansas Development,"",Statewide,"173,165",13727,"186,892",Central Arkansas Development,CENTRAL ARKANSAS DEVELOPMENT,193625,194643,1,2022,1,Central Arkansas Development,Central Arkansas Development Council,0,Non-Emergency Medical Transportation
AR,*132845715,Arkansas,Non-Emergency Medical Transportation (NEMT),Area Agency on Aging of Southeast Arkansas,"",Statewide,"91,019",8830,"99,849",Area Agency on Aging of Southeast Arkansas,AREA AGENCY ON AGING OF SOUTHEAST,102055,102718,1,2022,1,Area Agency on Aging of Southeast Arkansas,Area Agencies on Aging,0,Non-Emergency Medical Transportation
AR,*156033093,Arkansas,Program of All-Inclusive Care for the Elderly (PACE),PACE,"","Craighead County, Lawrence (72433, 72465, 72476), Cross (72324, 72373, 72387, 72396), Mississippi (72315, 72319, 72438, 72442), Greene (72450), Poinsett (72432, 72354, 72365, 72472), Randolph (72455), Faulkner (72032, 72034, 72106, 72173), Lonoke (72023, 72046, 72083, 72086), Saline (72002, 72011, 72015, 72019, 72022, 72065, 72103), Pulaksi (72076, 72120, 72113, 72135, 72201, 72202, 72204, 72205, 72206, 72207, 72209, 72210, 72211, 72212, 72223, 72227, 72114, 72116, 72117, 72118, 72119, 72142), Benton (72712, 72713, 72714, 72715, 72718, 72719, 72722, 72734, 72736, 72739, 72745, 72751, 72756, 72758, 72761), Madison (72738, 72740, 72773), Washington (72701, 72703, 72704, 72727, 72730, 72744, 72753, 72762, 72764, 72774, 72959)",0,0,0,N/A,TOTAL LIFE HEALTHCARE INC,386,405,1,2022,1,St. Bernard's Healthcare,St. Bernard's Healthcare,0,Program of All-Inclusive Care for the Elderly (PACE)
AR,*195015715,Arkansas,Non-Emergency Medical Transportation (NEMT),"Southeast Trans, Inc.","",Statewide,0,0,0,"Southeast Trans, Inc.","SOUTHEASTRANS, INC                                                                ",155717,156620,1,2022,1,"Southeastrans, Inc",Southeastrans,0,Non-Emergency Medical Transportation
AR,*197468715,Arkansas,Non-Emergency Medical Transportation (NEMT),"Southeast Trans, Inc.","",Statewide,0,0,0,"Southeast Trans, Inc.","SOUTHEASTRANS, INC                                                                ",198625,199668,1,2022,1,"Southeastrans, Inc",Southeastrans,0,Non-Emergency Medical Transportation
AR,*221537727,Arkansas,AR Healthy Smiles (Dental only (PAHP)),Delta Dental Smiles,"",Statewide,"368,859",38406,"407,265",Delta Dental of Arkansas,DELTA DENTAL,403299,404916,1,2022,1,Delta Dental of Arkansas,Delta Dental,0,Dental only (PAHP)
AR,*221739727,Arkansas,AR Healthy Smiles (Dental only (PAHP)),MCNA Dental,"",Statewide,"347,540",35810,"383,350",MCNA Dental,MCNA,381339,382782,1,2022,1,MCNA Dental,United Healthcare,0,Dental only (PAHP)
AR,*223649727,Arkansas,PASSE (Comprehensive MCO + MLTSS),Empower Healthcare Solutions,Empower Healthcare Solutions,Statewide,"20,030",1936,"21,966",Beacon,EMPOWER HEALTH SOLUTIONS,22817,23155,1,2022,1,Empower Healthcare Solutions,Beacon,0,Comprehensive MCO + MLTSS
