"county","state","ssacd","fipscounty","cbsa","cbsaname"
"AUTAUGA","AL","01000","01001","33860","Montgomery, AL"
"BALDWIN","AL","01010","01003","19300","Daphne-Fairhope-Foley, AL"
"BARBOUR","AL","01020","01005",,""
"BIBB","AL","01030","01007","13820","Birmingham-Hoover, AL"
"BLOUNT","AL","01040","01009","13820","Birmingham-Hoover, AL"
"BULLOCK","AL","01050","01011",,""
"BUTLER","AL","01060","01013",,""
"CALHOUN","AL","01070","01015","11500","Anniston-Oxford-Jacksonville, AL"
"CHAMBERS","AL","01080","01017",,""
"CHEROKEE","AL","01090","01019",,""
"CHILTON","AL","01100","01021","13820","Birmingham-Hoover, AL"
"CHOCTAW","AL","01110","01023",,""
"CLARKE","AL","01120","01025",,""
"CLAY","AL","01130","01027",,""
"CLEBURNE","AL","01140","01029",,""
"COFFEE","AL","01150","01031",,""
"COLBERT","AL","01160","01033","22520","Florence-Muscle Shoals, AL"
"CONECUH","AL","01170","01035",,""
"COOSA","AL","01180","01037",,""
"COVINGTON","AL","01190","01039",,""
"CRENSHAW","AL","01200","01041",,""
"CULLMAN","AL","01210","01043",,""
"DALE","AL","01220","01045",,""
"DALLAS","AL","01230","01047",,""
"DE KALB","AL","01240","01049",,""
"ELMORE","AL","01250","01051","33860","Montgomery, AL"
"ESCAMBIA","AL","01260","01053",,""
"ETOWAH","AL","01270","01055","23460","Gadsden, AL"
"FAYETTE","AL","01280","01057",,""
"FRANKLIN","AL","01290","01059",,""
"GENEVA","AL","01300","01061","20020","Dothan, AL"
"GREENE","AL","01310","01063",,""
"HALE","AL","01320","01065","46220","Tuscaloosa, AL"
"HENRY","AL","01330","01067","20020","Dothan, AL"
"HOUSTON","AL","01340","01069","20020","Dothan, AL"
"JACKSON","AL","01350","01071",,""
"JEFFERSON","AL","01360","01073","13820","Birmingham-Hoover, AL"
"LAMAR","AL","01370","01075",,""
"LAUDERDALE","AL","01380","01077","22520","Florence-Muscle Shoals, AL"
"LAWRENCE","AL","01390","01079","19460","Decatur, AL"
"LEE","AL","01400","01081","12220","Auburn-Opelika, AL"
"LIMESTONE","AL","01410","01083","26620","Huntsville, AL"
"LOWNDES","AL","01420","01085","33860","Montgomery, AL"
"MACON","AL","01430","01087",,""
"MADISON","AL","01440","01089","26620","Huntsville, AL"
"MARENGO","AL","01450","01091",,""
"MARION","AL","01460","01093",,""
"MARSHALL","AL","01470","01095",,""
"MOBILE","AL","01480","01097","33660","Mobile, AL"
"MONROE","AL","01490","01099",,""
"MONTGOMERY","AL","01500","01101","33860","Montgomery, AL"
"MORGAN","AL","01510","01103","19460","Decatur, AL"
"PERRY","AL","01520","01105",,""
"PICKENS","AL","01530","01107","46220","Tuscaloosa, AL"
"PIKE","AL","01540","01109",,""
"RANDOLPH","AL","01550","01111",,""
"RUSSELL","AL","01560","01113","17980","Columbus, GA-AL"
"ST. CLAIR","AL","01570","01115","13820","Birmingham-Hoover, AL"
"SHELBY","AL","01580","01117","13820","Birmingham-Hoover, AL"
"SUMTER","AL","01590","01119",,""
"TALLADEGA","AL","01600","01121",,""
"TALLAPOOSA","AL","01610","01123",,""
"TUSCALOOSA","AL","01620","01125","46220","Tuscaloosa, AL"
"WALKER","AL","01630","01127","13820","Birmingham-Hoover, AL"
"WASHINGTON","AL","01640","01129",,""
"WILCOX","AL","01650","01131",,""
"WINSTON","AL","01660","01133",,""
"STATEWIDE","AL","01999","01990",,""
"ALEUTIANS EAST","AK","02013","02013",,""
"ALEUTIANS WEST","AK","02016","02016",,""
"ANCHORAGE","AK","02020","02020","11260","Anchorage, AK"
"BETHEL","AK","02050","02050",,""
"BRISTOL BAY BOROUGH","AK","02060","02060",,""
"DENALI","AK","02068","02068",,""
"DILLINGHAM","AK","02070","02070",,""
"FAIRBANKS NORTH STAR","AK","02090","02090","21820","Fairbanks, AK"
"HAINES","AK","02100","02100",,""
"HOONAH-ANGOON CENSUS AREA","AK","02105","02105",,""
"JUNEAU","AK","02110","02110",,""
"KENAI PENINSULA","AK","02122","02122",,""
"KETCHIKAN GATEWAY","AK","02130","02130",,""
"KODIAK ISLAND BOROUGH","AK","02150","02150",,""
"LAKE AND PENINSULA","AK","02164","02164",,""
"MATANUSKA-SUSITNA","AK","02170","02170","11260","Anchorage, AK"
"NOME","AK","02180","02180",,""
"NORTH SLOPE BOROUH","AK","02185","02185",,""
"NORTHWEST ARTIC BOROUGH","AK","02188","02188",,""
"PETERSBURG BOROUGH","AK","02195","02195",,""
"PR.OF WALES-HYDER CNS AREA","AK","02198","02198",,""
"SITKA BOROUGH","AK","02220","02220",,""
"SKAGWAY-YAKUTAT","AK","02230","02230",,""
"SOUTHEAST FAIRBANKS","AK","02240","02240",,""
"VALDEZ-CORDOVA","AK","02261","02261",,""
"WADE HAMPTON","AK","02270","02270",,""
"WRANGELL CITY AND BOROUGH","AK","02275","02275",,""
"YAKUTAT BOROUGH","AK","02282","02282",,""
"YUKON-KOYUKUK","AK","02290","02290",,""
"STATEWIDE","AK","02999","02990",,""
"APACHE","AZ","03000","04001",,""
"COCHISE","AZ","03010","04003","43420","Sierra Vista-Douglas, AZ"
"COCONINO","AZ","03020","04005","22380","Flagstaff, AZ"
"GILA","AZ","03030","04007",,""
"GRAHAM","AZ","03040","04009",,""
"GREENLEE","AZ","03050","04011",,""
"LAPAZ","AZ","03055","04012",,""
"MARICOPA","AZ","03060","04013","38060","Phoenix-Mesa-Scottsdale, AZ"
"MOHAVE","AZ","03070","04015","29420","Lake Havasu City-Kingman, AZ"
"NAVAJO","AZ","03080","04017",,""
"PIMA","AZ","03090","04019","46060","Tucson, AZ"
"PINAL","AZ","03100","04021","38060","Phoenix-Mesa-Scottsdale, AZ"
"SANTA CRUZ","AZ","03110","04023",,""
"YAVAPAI","AZ","03120","04025","39140","Prescott, AZ"
"YUMA","AZ","03130","04027","49740","Yuma, AZ"
"STATEWIDE","AZ","03999","04990",,""
"ARKANSAS","AR","04000","05001",,""
"ASHLEY","AR","04010","05003",,""
"BAXTER","AR","04020","05005",,""
"BENTON","AR","04030","05007","22220","Fayetteville-Springdale-Rogers, AR-MO"
"BOONE","AR","04040","05009",,""
"BRADLEY","AR","04050","05011",,""
"CALHOUN","AR","04060","05013",,""
"CARROLL","AR","04070","05015",,""
"CHICOT","AR","04080","05017",,""
"CLARK","AR","04090","05019",,""
"CLAY","AR","04100","05021",,""
"CLEBURNE","AR","04110","05023",,""
"CLEVELAND","AR","04120","05025","38220","Pine Bluff, AR"
"COLUMBIA","AR","04130","05027",,""
"CONWAY","AR","04140","05029",,""
"CRAIGHEAD","AR","04150","05031","27860","Jonesboro, AR"
"CRAWFORD","AR","04160","05033","22900","Fort Smith, AR-OK"
"CRITTENDEN","AR","04170","05035","32820","Memphis, TN-MS-AR"
"CROSS","AR","04180","05037",,""
"DALLAS","AR","04190","05039",,""
"DESHA","AR","04200","05041",,""
"DREW","AR","04210","05043",,""
"FAULKNER","AR","04220","05045","30780","Little Rock-North Little Rock-Conway, AR"
"FRANKLIN","AR","04230","05047",,""
"FULTON","AR","04240","05049",,""
"GARLAND","AR","04250","05051","26300","Hot Springs, AR"
"GRANT","AR","04260","05053","30780","Little Rock-North Little Rock-Conway, AR"
"GREENE","AR","04270","05055",,""
"HEMPSTEAD","AR","04280","05057",,""
"HOT SPRING","AR","04290","05059",,""
"HOWARD","AR","04300","05061",,""
"INDEPENDENCE","AR","04310","05063",,""
"IZARD","AR","04320","05065",,""
"JACKSON","AR","04330","05067",,""
"JEFFERSON","AR","04340","05069","38220","Pine Bluff, AR"
"JOHNSON","AR","04350","05071",,""
"LAFAYETTE","AR","04360","05073",,""
"LAWRENCE","AR","04370","05075",,""
"LEE","AR","04380","05077",,""
"LINCOLN","AR","04390","05079","38220","Pine Bluff, AR"
"LITTLE RIVER","AR","04400","05081","45500","Texarkana, TX-AR"
"LOGAN","AR","04410","05083",,""
"LONOKE","AR","04420","05085","30780","Little Rock-North Little Rock-Conway, AR"
"MADISON","AR","04430","05087","22220","Fayetteville-Springdale-Rogers, AR-MO"
"MARION","AR","04440","05089",,""
"MILLER","AR","04450","05091","45500","Texarkana, TX-AR"
"MISSISSIPPI","AR","04460","05093",,""
"MONROE","AR","04470","05095",,""
"MONTGOMERY","AR","04480","05097",,""
"NEVADA","AR","04490","05099",,""
"NEWTON","AR","04500","05101",,""
"OUACHITA","AR","04510","05103",,""
"PERRY","AR","04520","05105","30780","Little Rock-North Little Rock-Conway, AR"
"PHILLIPS","AR","04530","05107",,""
"PIKE","AR","04540","05109",,""
"POINSETT","AR","04550","05111","27860","Jonesboro, AR"
"POLK","AR","04560","05113",,""
"POPE","AR","04570","05115",,""
"PRAIRIE","AR","04580","05117",,""
"PULASKI","AR","04590","05119","30780","Little Rock-North Little Rock-Conway, AR"
"RANDOLPH","AR","04600","05121",,""
"ST. FRANCIS","AR","04610","05123",,""
"SALINE","AR","04620","05125","30780","Little Rock-North Little Rock-Conway, AR"
"SCOTT","AR","04630","05127",,""
"SEARCY","AR","04640","05129",,""
"SEBASTIAN","AR","04650","05131","22900","Fort Smith, AR-OK"
"SEVIER","AR","04660","05133",,""
"SHARP","AR","04670","05135",,""
"STONE","AR","04680","05137",,""
"UNION","AR","04690","05139",,""
"VAN BUREN","AR","04700","05141",,""
"WASHINGTON","AR","04710","05143","22220","Fayetteville-Springdale-Rogers, AR-MO"
"WHITE","AR","04720","05145",,""
"WOODRUFF","AR","04730","05147",,""
"YELL","AR","04740","05149",,""
"STATEWIDE","AR","04999","05990",,""
"ALAMEDA","CA","05000","06001","36084","Oakland-Hayward-Berkeley, CA"
"ALPINE","CA","05010","06003",,""
"AMADOR","CA","05020","06005",,""
"BUTTE","CA","05030","06007","17020","Chico, CA"
"CALAVERAS","CA","05040","06009",,""
"COLUSA","CA","05050","06011",,""
"CONTRA COSTA","CA","05060","06013","36084","Oakland-Hayward-Berkeley, CA"
"DEL NORTE","CA","05070","06015",,""
"EL DORADO","CA","05080","06017","40900","Sacramento--Roseville--Arden-Arcade, CA"
"FRESNO","CA","05090","06019","23420","Fresno, CA"
"GLENN","CA","05100","06021",,""
"HUMBOLDT","CA","05110","06023",,""
"IMPERIAL","CA","05120","06025","20940","El Centro, CA"
"INYO","CA","05130","06027",,""
"KERN","CA","05140","06029","12540","Bakersfield, CA"
"KINGS","CA","05150","06031","25260","Hanford-Corcoran, CA"
"LAKE","CA","05160","06033",,""
